X.1,X.2
Alabama,2.1
Alaska,3.9
Arizona,3.8
Arkansas,2.7
California,4.6
Colorado,3.1
Connecticut,3.6
Delaware,4.1
District of Columbia,5
Florida,2.7
Georgia,3.3
Hawaii,2.8
Idaho,3
Illinois,4.1
Indiana,3.4
Iowa,2.9
Kansas,2.7
Kentucky,4
Louisiana,3.3
Maine,2.5
Maryland,1.7
Massachusetts,2.6
Michigan,3.7
Minnesota,3.1
Mississippi,3.2
Missouri,2.8
Montana,2.5
Nebraska,2
Nevada,5.4
New Hampshire,1.8
New Jersey,4.2
New Mexico,3.7
New York,3.9
North Carolina,3.3
North Dakota,1.9
Ohio,3.4
Oklahoma,2.8
Oregon,3.4
Pennsylvania,3.5
Rhode Island,2.7
South Carolina,3
South Dakota,1.9
Tennessee,3.1
Texas,4.1
Utah,2.5
Vermont,1.8
Virginia,2.5
Washington,3.6
West Virginia,3.6
Wisconsin,2.9
Wyoming,2.9
