California,465.60
Texas,337.30
Florida,302.40
New York,251.50
Pennsylvania,143.30
Illinois,133.90
Michigan,130.20
Ohio,130.10
Georgia,128.50
North Carolina,123.30
New Jersey,99.70
Washington,93.30
Virginia,91.80
Colorado,89
Arizona,83.40
Indiana,81.10
Tennessee,72.20
Missouri,68.70
Maryland,68.10
Massachusetts,66
Oregon,65.30
South Carolina,54.10
Wisconsin,53.10
Minnesota,50
Oklahoma,49.70
Alabama,47.80
Louisiana,47.20
Utah,44.80
Kentucky,41.20
Nevada,40.10
Connecticut,36.70
Kansas,33.50
Mississippi,32.20
Arkansas,28.60
Iowa,24.30
New Hampshire,23.10
Idaho,21.60
Maine,19.80
New Mexico,19.60
West Virginia,15.50
Hawaii,15.20
Nebraska,15
Rhode Island,11.90
Delaware,11.50
Montana,11.20
Alaska,8.30
Vermont,8.10
"Washington, D.C.",7.90
Wyoming,6.80
South Dakota,6.20
North Dakota,5.30
Puerto Rico,2.30
