Title,Category,"Price(""$"")",7-day sales,Total Sales,Total Reviews,7-day Reviews,Total Favorites,7-day Favorites,Tags,Ship From,Release Time,Best Seller,Etsy Pick,Raving,Store Name,Product URL,Image URL
"Personalized Bookmark With Name,Bookmark for Her,Gift for Book Lovers,Custom Party Favors,Maid of Honor Gift,Bridal Party Favors ","Books, Movies & Music > Books > Book Accessories > Bookmarks",6.55,5857,5866,369,245,5778,2625,"Custom Name Bookmark,Bookmark With Name,Leather Book Mark,Gifts for Readers,Christmas Gift,Bridesmaid Gift,Birthday Gift,Thank You Gift,Bridal Party Favors,Wedding Party Favors,Gift for Her,Personalized Gift,Leather Page Mark,Gifts for Girlfriend,Gifts for Mom,Gifts for Sister,Gifts for Wife,Birthday Gifts,Christmas Gifts,Gifts for Her,Personalized Gifts,Gifts",United States,2023-10-11,yes,no,no,SusanPrints,https://www.etsy.com/listing/1585695743/personalized-bookmark-with-namebookmark,Upgrade Pro to Unlock
"Personalized New Home Photo Ornament, Custom House Address Ornament, Housewarming Gift, Realtor Client Gift, Couples Home Ornament ",Home & Living > Home Decor > Seasonal Decor > Ornaments,12.48,2492,12687,2151,19,5811,35,"Christmas Ornament,Personalized Gift,Custom Ornament,Christmas Keepsake,Couples Ornament,New Home Ornament,New Home Owners Gift,Realtor Client Gift,Home Sweet Home,New Address Ornament,New Home Christmas,Couple Home Ornament,Anniversary Gifts,Christmas Gifts,Gifts for Couples,Gifts for Friends,Housewarming Gifts,Personalized Gifts,Gifts",United States,2021-11-03,yes,no,no,LoveSuna,https://www.etsy.com/listing/1099602196/personalized-new-home-photo-ornament,Upgrade Pro to Unlock
"Custom Mama Sweatshirt with Kid Name on Sleeve, Personalized Mom Sweatshirt, Gift Momma Sweatshirt, Christmas Gift for Mom, Gift for Her ",Clothing > Gender-Neutral Adult Clothing > Hoodies & Sweatshirts > Sweatshirts,12.6,2191,3360,335,217,3323,1166,"Custom Mom Sweater,Custom Mama Shirt,Mom Sweatshirt,Gift for Mom,Personalized Mama,Hoodies and Sweaters,Gift for Her,Momma Sweatshirt,Mom Gift From Kids,Name on Sleeve,Mama Sweatshirt,Mama to Be,Customized for Her,Gifts for Girlfriend,Gifts for Mom,Gifts for Sister,Gifts for Wife,Christmas Gifts,Gifts for Friends,Gifts for Her,Personalized Gifts,Gifts",United States,2023-10-26,yes,no,no,BigSunApparelCo,https://www.etsy.com/listing/1596574671/custom-mama-sweatshirt-with-kid-name-on,Upgrade Pro to Unlock
"Custom initial Coin Bank,Personalized Letter Piggy Bank,Wooden Name Piggy Bank,Wood Birthday Gift For Kids,Baby Shower Gift,Nursery Decor ",Home & Living > Home Decor > Home Accents > Piggy Banks,19.07,1994,2431,73,9,644,131,"Personalized Bank,Boys Piggy Bank,Wood Gift for Kids,Baby Boy Gift,Letter Bank,Neutral Shower Gift,Wooden Coin Bank,Nursery Decor,Custom Piggy Bank,Kids Room Decor,Birthday Gift,Initial Coin Bank,Wooden Piggy Bank,Baby Gifts,Gifts for Boys,Gifts for Girls,Birthday Gifts,Gifts for Kids,Housewarming Gifts,Personalized Gifts,Gifts",United States,2023-08-11,yes,no,no,KevinSunnye,https://www.etsy.com/listing/1542241425/custom-initial-coin-bankpersonalized,Upgrade Pro to Unlock
"Personalized Gingerbread Family Ornament 2023, 4D Customized Cookie Ornament Gift for Christmas, Custom Family Christmas Ornament ",Home & Living > Home Decor > Seasonal Decor > Ornaments,13.95,1782,4039,554,107,8181,1591,"Family Ornament,Christmas Gifts,Christmas Tree,Personalized Family,Christmas Ornament,Family Christmas,Gift for Christmas,4D Customized,Cookie Ornament,Gingerbread Family,Gingerbread Ornament,Anniversary Gifts,Christmas Gifts,Gifts for Couples,Gifts for Friends,Housewarming Gifts,Personalized Gifts,Gifts",United States,2023-09-02,yes,no,no,Baienshop,https://www.etsy.com/listing/1543467292/personalized-gingerbread-family-ornament,Upgrade Pro to Unlock
"Custom Comfort Colors Dog TShirt, Retro Dog Shirt, Personalized Pet Shirt, 90s shirt, Women Tee ",Clothing > Gender-Neutral Adult Clothing > Tops & Tees > T-shirts,30.49,1564,4192,663,226,9318,1564,"Comfort Colors,Cat Shirt,Dog Mom,Pet Gifts,Pet Portrait,Dog Memorial Gifts,Gift for Her,Custom Shirt,Personalized Tee,Dog Drawing,Dog Remembrance Gift,Gifts for Girlfriend,Gifts for Mom,Gifts for Sister,Gifts for Wife,Gifts for Her,Gifts for Pets,Personalized Gifts,Gifts",United States,2023-08-22,yes,no,no,SChousebyDaniel,https://www.etsy.com/listing/1549746149/custom-comfort-colors-dog-tshirt-retro,Upgrade Pro to Unlock
"Family Christmas Ornament, Personalized Family Ornament, Family Ornament 2023, Christmas Ornament, Family Tree Ornament, Gift for Family ",Home & Living > Home Decor > Seasonal Decor > Ornaments,36.29,1503,2568,294,177,3580,834,"Newlywed Gift,Married Ornament,Engagement Gift,Engagement Ornament,Couples Gift,Christmas Ornament,Couple Ornaments,Our First Ornament,Housewarming Gift,Family Christmas,Family Ornament,Christmas Tree,Personalized Family,Anniversary Gifts,Christmas Gifts,Gifts for Couples,Gifts for Friends,Housewarming Gifts,Personalized Gifts,Gifts",United States,2023-09-20,yes,no,no,MakeAgift12,https://www.etsy.com/listing/1570687681/family-christmas-ornament-personalized,Upgrade Pro to Unlock
"Stanley Name Plate, Stanley Topper, Personalized Stanley Cup, Tumbler Name Tag, Stanley Cup Accessories, Name Tag Stanley H2.0, Name Plate ",Home & Living > Kitchen & Dining > Drink & Barware > Drinkware > Tumblers & Water Glasses,8.99,1486,3639,244,112,2437,567,"Stanley Name Plate,Stanley Topper,Personalized Stanley,Tumbler Name Tag,Stanley Accessories,Name Tag for Stanley,Name Plate,Stanley Cup,Stanley Name Tag,Custom Cups,Bridesmaid Gift,Maid of Honor Gift,Baby Shower Gift,Gifts for Boyfriend,Gifts for Dad,Gifts for Girlfriend,Gifts for Husband,Gifts for Mom,Gifts for Sister,Gifts for Wife,Anniversary Gifts,Birthday Gifts,Christmas Gifts,Gifts for Couples,Gifts for Friends,Gifts for Her,Gifts for Him,Housewarming Gifts,Personalized Gifts,Gifts",United States,2023-10-01,yes,no,no,LuxHavenMill,https://www.etsy.com/listing/1564309346/stanley-name-plate-stanley-topper,Upgrade Pro to Unlock
"Floral Jewelry Case, Personalized Birth Flower Jewelry Box, Christmas Gifts, Gift for Her, Travel Jewelry Organizer, Birth Month Jewelry Box ",Jewelry > Jewelry Storage > Jewelry Boxes,6.9,1417,2001,235,125,1863,864,"Floral Jewelry Case,Christmas Gifts,Gift for Her,Personalized Gifts,Birth Flower Gift,Cute Jewelry Box,Travel Jewelry Case,Jewelry Organizer,Birth Month Gift,Wild Flower Box,Little Girl Gift,Jewellery Box Gift,Custom Jewelry Box,Gifts for Girlfriend,Gifts for Girls,Gifts for Mom,Gifts for Sister,Gifts for Wife,Anniversary Gifts,Christmas Gifts,Gifts for Her,Housewarming Gifts,Personalized Gifts,Gifts",United States,2023-10-17,yes,no,no,HRLeatherCrafts,https://www.etsy.com/listing/1589775709/floral-jewelry-case-personalized-birth,Upgrade Pro to Unlock
"Custom Mama Sweatshirt with Kid Name on Sleeve, Personalized Mom Sweatshirt, Minimalist Momma Sweater, Christmas Gift for Mom, Gift for Her ",Clothing > Gender-Neutral Adult Clothing > Hoodies & Sweatshirts > Sweatshirts,24.49,1408,7119,1500,233,7322,663,"Mama Sweatshirt,Custom Mom Sweater,Custom Mama Shirt,Mom Sweatshirt,Gift for Mom,Personalized Mama,Hoodies and Sweaters,Gift for Her,Momma Sweatshirt,Mom Gift From Kids,Name on Sleeve,Mama to Be,Customized for Her,Gifts for Girlfriend,Gifts for Mom,Gifts for Sister,Gifts for Wife,Christmas Gifts,Gifts for Friends,Gifts for Her,Personalized Gifts,Gifts",United States,2023-08-01,yes,no,no,TrendTeesApparel,https://www.etsy.com/listing/1535088081/custom-mama-sweatshirt-with-kid-name-on,Upgrade Pro to Unlock
